Path,Tag,Comments
/system/${LIB}/vndk/libdumpstateutil.so,VNDK,
/system/${LIB}/vndk/libevent.so,VNDK,
/system/${LIB}/vndk/libexif.so,VNDK,
/system/${LIB}/vndk/libexpat.so,VNDK,
/system/${LIB}/vndk/libfmq.so,VNDK,
/system/${LIB}/vndk/libgatekeeper.so,VNDK,
/system/${LIB}/vndk/libgui.so,VNDK,
/system/${LIB}/vndk/libhardware_legacy.so,VNDK,
/system/${LIB}/vndk/libicui18n.so,VNDK,Will be FWK-ONLY in the future
/system/${LIB}/vndk/libicuuc.so,VNDK,Will be FWK-ONLY in the future
/system/${LIB}/vndk/libjpeg.so,VNDK,
/system/${LIB}/vndk/libkeymaster1.so,VNDK,
/system/${LIB}/vndk/libkeymaster_messages.so,VNDK,
/system/${LIB}/vndk/libldacBT_abr.so,VNDK,
/system/${LIB}/vndk/libldacBT_enc.so,VNDK,
/system/${LIB}/vndk/liblz4.so,VNDK,
/system/${LIB}/vndk/libmedia_helper.so,VNDK,
/system/${LIB}/vndk/libmedia_omx.so,VNDK,
/system/${LIB}/vndk/libmemtrack.so,VNDK,
/system/${LIB}/vndk/libminijail.so,VNDK,"Will be FWK-ONLY in the future.  Vendor module should link libminijail_vendor.so"
/system/${LIB}/vndk/libnbaio.so,VNDK,"Vendor modules should use libnbaio_mono.so (with less APIs) in the future"
/system/${LIB}/vndk/libnetutils.so,VNDK,
/system/${LIB}/vndk/libnl.so,VNDK,
/system/${LIB}/vndk/libpagemap.so,VNDK,
/system/${LIB}/vndk/libpcre2.so,VNDK,
/system/${LIB}/vndk/libpiex.so,VNDK,
/system/${LIB}/vndk/libpng.so,VNDK,
/system/${LIB}/vndk/libpower.so,VNDK,
/system/${LIB}/vndk/libprocinfo.so,VNDK,
/system/${LIB}/vndk/libprotobuf-cpp-full.so,VNDK,
/system/${LIB}/vndk/libprotobuf-cpp-lite.so,VNDK,
/system/${LIB}/vndk/libradio_metadata.so,VNDK,
/system/${LIB}/vndk/libsoftkeymasterdevice.so,VNDK,
/system/${LIB}/vndk/libspeexresampler.so,VNDK,
/system/${LIB}/vndk/libsqlite.so,VNDK,
/system/${LIB}/vndk/libssl.so,VNDK,
/system/${LIB}/vndk/libstagefright_foundation.so,VNDK,
/system/${LIB}/vndk/libstagefright_omx.so,VNDK,
/system/${LIB}/vndk/libsuspend.so,VNDK,
/system/${LIB}/vndk/libsysutils.so,VNDK,
/system/${LIB}/vndk/libtinyalsa.so,VNDK,
/system/${LIB}/vndk/libtinyxml2.so,VNDK,
/system/${LIB}/vndk/libui.so,VNDK,
/system/${LIB}/vndk/libusbhost.so,VNDK,
/system/${LIB}/vndk/libvixl-arm.so,VNDK,
/system/${LIB}/vndk/libvixl-arm64.so,VNDK,
/system/${LIB}/vndk/libxml2.so,VNDK,
/system/${LIB}/vndk/libyuv.so,VNDK,
/system/${LIB}/vndk/libziparchive.so,VNDK,
/vendor/${LIB}/libavservices_minijail_vendor.so,VND-ONLY,Framework module should link libavservices_minijail.so
/vendor/${LIB}/libcld80211.so,VND-ONLY,
/vendor/${LIB}/libhwc2on1adapter.so,VND-ONLY,
/vendor/${LIB}/libminijail_vendor.so,VND-ONLY,Framework module should link libminijail.so
/vendor/${LIB}/libreference-ril.so,VND-ONLY,
/vendor/${LIB}/libril.so,VND-ONLY,
/vendor/${LIB}/librilutils.so,VND-ONLY,
/vendor/${LIB}/libtinycompress.so,VND-ONLY,
/vendor/${LIB}/libwebrtc_audio_preprocessing.so,VND-ONLY,
